Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
01-03-2023,Ý,Si 2-3 màu,3 dây 4c259,4c212,,,,5c268
01-03-2023,Ý,Si 2-3 màu,1 dây 2c002,2c,,,,5c268
