Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)"
05-04-2023,Ý,Si 2-3 màu,15 lắc 24c882,25c776,-2-3c025-8li2(thay khóa),2100,-1-1c8(hư hỏng)
05-04-2023,416,Si trắng,2 kiềng 3c018,3c016,,,
05-04-2023,416,Si trắng,1 vòng 1c012,1c013,,,
05-04-2023,925,Si vàng,5 nhẫn 8c018,8c020,,,
05-04-2023,Ý,Si trắng,8 vòng 21c352,21c324,-5g25 (thay khóa),1569,-1 -6g12
09-04-2023,610,Si hồng,7 Kiềng 8 c 025,8c022,-1 1c032,,
09-04-2023,416,Si 2-3 màu,7 dây 8c258,8c253,,,
09-04-2023,750,Si hồng,1 mặt 1c502,1c204,,,
09-04-2023,Ý,Si hồng,2 lắc 3c25,3c211,,,
